combo_id,label,status,retained_trade_ratio,retained_trade_count,universe,ma_windows,pivot_window,flagpole_lookback_bars,min_flagpole_bars,max_flagpole_bars,min_flagpole_return,min_flag_bars,max_flag_bars,max_flag_retrace_ratio,max_flag_channel_slope_pct_per_bar,max_flag_width_pct,min_breakout_body_pct,max_breakout_upper_shadow_pct,max_breakout_lower_shadow_pct,stop_buffer_pct,measured_move_fraction,min_reward_r,require_follow_through_close_gt_signal_close,max_holding_days,enable_hard_stop,enable_take_profit,enable_time_stop,start_date,end_date,total_return,benchmark_total_return,excess_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,daily_win_rate,average_holdings_count,total_turnover,total_trades,total_transaction_costs,information_ratio,planned_trade_count,entered_trade_count,closed_trade_count,open_trade_count,entry_fill_rate,trade_win_rate,average_trade_return,median_trade_return,profit_factor,fixed_entry_notional,signal_bullish_stack_run_length__max
2,signal_bullish_stack_run_length__max=60,ok,0.8194444444444444,236,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.061804931552525755,2.576408009944262,-2.5146030783917364,0.010125921580277586,0.015004868013431863,0.6789590926339978,0.8393053013642325,0.023105078282774416,0.4382552379329867,0.33266666666666667,1.848,5.94462502339021,323,3435.8979474749995,-1.0700210962893635,165,162,161,1,0.9818181818181818,0.39751552795031053,0.018990883335189734,-0.031176914842676578,1.4751750600258604,20000.0,60.0
3,signal_bullish_stack_run_length__max=80,ok,0.8888888888888888,256,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.06326520666530056,2.576408009944262,-2.513142803278962,0.010359174137862581,0.015862829223812144,0.6576271752024063,0.8190079742196485,0.02367480799613042,0.43756106235606046,0.3413333333333333,2.050666666666667,6.409480209278062,349,3708.7273347,-1.070922636407843,178,175,174,1,0.9831460674157303,0.40229885057471265,0.01791983377468808,-0.030789792564730967,1.4437633336985998,20000.0,80.0
-1,baseline,ok,1.0,288,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.06641105713234108,2.576408009944262,-2.509996952811921,0.010860762725673823,0.016698985684699526,0.6552355504311164,0.829632902645451,0.024772375011200554,0.43842234427515525,0.3426666666666667,2.176,6.9154095056379,379,4007.21386766,-1.0711978036705174,196,191,188,3,0.9744897959183674,0.4095744680851064,0.017798688441843697,-0.030789792564730967,1.4374542364369949,20000.0,
1,signal_bullish_stack_run_length__max=40,ok,0.6979166666666666,201,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.051204037798415536,2.576408009944262,-2.525203972145847,0.008424571908638434,0.013947744358635702,0.608457655315423,0.7394112478457073,0.02050556556786909,0.41084318697550093,0.31066666666666665,1.578,4.9559463830000645,269,2852.3157015849997,-1.07528455950576,137,135,134,1,0.9854014598540146,0.3880597014925373,0.018461766114093635,-0.034578658409329124,1.4606283674932932,20000.0,40.0
0,signal_bullish_stack_run_length__max=30,ok,0.6145833333333334,177,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.035313359193935634,2.576408009944262,-2.5410946507503267,0.005847325346609145,0.013316923300899404,0.444468918344504,0.5296077758639178,0.02443664199397244,0.23928514188043717,0.30733333333333335,1.4486666666666668,4.47741188973183,241,2550.806306065,-1.0858223935736617,123,121,120,1,0.983739837398374,0.375,0.01364379638734259,-0.03980812174331498,1.3289804559158804,20000.0,30.0
