combo_id,label,status,retained_trade_ratio,retained_trade_count,universe,ma_windows,pivot_window,flagpole_lookback_bars,min_flagpole_bars,max_flagpole_bars,min_flagpole_return,min_flag_bars,max_flag_bars,max_flag_retrace_ratio,max_flag_channel_slope_pct_per_bar,max_flag_width_pct,min_breakout_body_pct,max_breakout_upper_shadow_pct,max_breakout_lower_shadow_pct,stop_buffer_pct,measured_move_fraction,min_reward_r,require_follow_through_close_gt_signal_close,max_holding_days,enable_hard_stop,enable_take_profit,enable_time_stop,start_date,end_date,total_return,benchmark_total_return,excess_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,daily_win_rate,average_holdings_count,total_turnover,total_trades,total_transaction_costs,information_ratio,planned_trade_count,entered_trade_count,closed_trade_count,open_trade_count,entry_fill_rate,trade_win_rate,average_trade_return,median_trade_return,profit_factor,fixed_entry_notional,signal_stack_spread_pct__max,signal_sma20_return_5__min
0,"signal_stack_spread_pct__max=0.1, signal_sma20_return_5__min=0.0",ok,0.3194444444444444,92,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.04466358767595047,2.576408009944262,-2.5317444222683116,0.007367753844503611,0.006865926043382807,1.0726030603667749,1.047720718709806,0.008300276141258056,0.8876516538866495,0.17133333333333334,0.6726666666666666,2.3077894643287897,122,1327.38832405,-1.0678226484261364,61,61,61,0,1.0,0.5081967213114754,0.039689858496247725,0.005219333332474741,2.460236166951531,20000.0,0.1,0.0
1,"signal_stack_spread_pct__max=0.1, signal_sma20_return_5__min=0.02",ok,0.2361111111111111,68,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.03772000376866491,2.576408009944262,-2.5386880061755974,0.006239755082812604,0.006013733742043454,1.0373791350474493,0.9197691411465535,0.007139848187118436,0.8739338595560391,0.14533333333333334,0.49733333333333335,1.6725769768538474,88,964.968731335,-1.0717070785900862,44,44,44,0,1.0,0.5454545454545454,0.04538941177338602,0.052929156350882335,2.64585896879056,20000.0,0.1,0.02
5,"signal_stack_spread_pct__max=0.12, signal_sma20_return_5__min=0.02",ok,0.3472222222222222,100,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.046283758749635195,2.576408009944262,-2.5301242511946267,0.0076300559169633075,0.008193697241260975,0.9317865957834998,0.8181533461560907,0.015099332725598269,0.5053240468055841,0.2,0.7453333333333333,2.374894616556087,126,1369.936750365,-1.0682330304767484,63,63,63,0,1.0,0.5238095238095238,0.03800276133533948,0.04424606994980394,2.1907071041832493,20000.0,0.12,0.02
3,"signal_stack_spread_pct__max=0.1, signal_sma20_return_5__min=0.04",ok,0.059027777777777776,17,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.022101240844605297,2.576408009944262,-2.554306769099657,0.003679324282067409,0.004061979127990685,0.9061704958434572,0.6458911163822656,0.005875354484033091,0.6262301776116436,0.078,0.20066666666666666,0.5224377145703192,28,305.98165539499996,-1.081509968049548,14,14,14,0,1.0,0.6428571428571429,0.08176460967656296,0.1217952370081074,4.469105921144407,20000.0,0.1,0.04
2,"signal_stack_spread_pct__max=0.1, signal_sma20_return_5__min=0.03",ok,0.13194444444444445,38,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.02635651960702501,2.576408009944262,-2.5500514903372373,0.004380113570715771,0.004920358848790141,0.8907253533960241,0.7307761914399242,0.005272131490963172,0.830805069680757,0.12466666666666666,0.316,0.9486241266823261,50,548.8568929749999,-1.0794887300761935,25,25,25,0,1.0,0.6,0.055558817452894926,0.09461542181742731,2.8253018915150276,20000.0,0.1,0.03
6,"signal_stack_spread_pct__max=0.12, signal_sma20_return_5__min=0.03",ok,0.2152777777777778,62,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.03691134977411026,2.576408009944262,-2.539496660170152,0.00610797974704802,0.0071362617487608845,0.856882881628258,0.701143096653641,0.015099332725598269,0.40451984587987866,0.18533333333333332,0.53,1.5012725101625757,80,870.5382258899999,-1.0742653461020735,40,40,40,0,1.0,0.575,0.04703447286853324,0.09405876349766412,2.3748129366055486,20000.0,0.12,0.03
4,"signal_stack_spread_pct__max=0.12, signal_sma20_return_5__min=0.0",ok,0.4513888888888889,130,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.047404332582710706,2.576408009944262,-2.529003677361551,0.007811276689264179,0.009162599857000598,0.853798992815517,0.8453444610561595,0.01634930977525606,0.47777409545974797,0.23333333333333334,0.98,3.2513710104638065,172,1859.01141729,-1.0691875853024795,86,86,86,0,1.0,0.46511627906976744,0.02931677961810119,-0.014929789953657159,1.9053150044200438,20000.0,0.12,0.0
9,"signal_stack_spread_pct__max=0.15, signal_sma20_return_5__min=0.02",ok,0.5138888888888888,148,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.051929586193155464,2.576408009944262,-2.5244784237511064,0.00854146999552019,0.010145118374402178,0.8434396368599264,0.9074635589502916,0.013592331768148225,0.6284035838159836,0.25666666666666665,1.134,3.3608408166352897,180,1942.409306845,-1.067497854526069,93,90,90,0,0.967741935483871,0.4777777777777778,0.02898771491639575,-0.008410320391013604,1.8465309106879184,20000.0,0.15,0.02
10,"signal_stack_spread_pct__max=0.15, signal_sma20_return_5__min=0.03",ok,0.3506944444444444,101,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.046402138254165726,2.576408009944262,-2.530005871690096,0.00764920804290159,0.009102882826870837,0.8416720207072357,0.8800548467579904,0.012846411778707156,0.5954353771829191,0.24266666666666667,0.882,2.3016250985929503,124,1338.8682458350002,-1.0705209352119174,65,62,62,0,0.9538461538461539,0.532258064516129,0.03709164185532845,0.04462675621760087,2.020354550844828,20000.0,0.15,0.03
8,"signal_stack_spread_pct__max=0.15, signal_sma20_return_5__min=0.0",ok,0.6319444444444444,182,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.05346390246033628,2.576408009944262,-2.5229441074839256,0.008788453472982516,0.011353500335054714,0.7763811419652816,0.8747164895335464,0.01707489310179411,0.5147003510118073,0.2713333333333333,1.3953333333333333,4.3511741312152505,232,2498.771039665,-1.0687270393974893,119,116,116,0,0.9747899159663865,0.4396551724137931,0.023761471615679156,-0.025440510697770893,1.6949041716083804,20000.0,0.15,0.0
