combo_id,label,status,retained_trade_ratio,retained_trade_count,universe,ma_windows,pivot_window,flagpole_lookback_bars,min_flagpole_bars,max_flagpole_bars,min_flagpole_return,min_flag_bars,max_flag_bars,max_flag_retrace_ratio,max_flag_channel_slope_pct_per_bar,max_flag_width_pct,min_breakout_body_pct,max_breakout_upper_shadow_pct,max_breakout_lower_shadow_pct,stop_buffer_pct,measured_move_fraction,min_reward_r,require_follow_through_close_gt_signal_close,max_holding_days,enable_hard_stop,enable_take_profit,enable_time_stop,start_date,end_date,total_return,benchmark_total_return,excess_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,daily_win_rate,average_holdings_count,total_turnover,total_trades,total_transaction_costs,information_ratio,planned_trade_count,entered_trade_count,closed_trade_count,open_trade_count,entry_fill_rate,trade_win_rate,average_trade_return,median_trade_return,profit_factor,fixed_entry_notional,peak_high_to_sma120_pct__max
0,peak_high_to_sma120_pct__max=0.15,ok,0.2361111111111111,68,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.030162385953040438,2.576408009944262,-2.5462456239912217,0.005004845549266168,0.0051650666040861945,0.9691537301156191,0.925436486851015,0.00915903835853682,0.5464378849992834,0.13466666666666666,0.476,1.8174134692635162,94,1032.13004696,-1.0764114832472977,47,47,47,0,1.0,0.5106382978723404,0.03551750456208069,0.005219333332474741,2.3080219253882372,20000.0,0.15
2,peak_high_to_sma120_pct__max=0.22,ok,0.5555555555555556,160,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.05135878463996568,2.576408009944262,-2.525049225304296,0.008449509866124139,0.010835646403151355,0.7819397264960622,0.8526189747941759,0.012091476064040263,0.6987988746264621,0.262,1.3053333333333332,3.955893610368454,208,2262.6958600350004,-1.06850756989713,105,104,104,0,0.9904761904761905,0.46153846153846156,0.02599259615224301,-0.016357325016325815,1.7972145905918284,20000.0,0.22
1,peak_high_to_sma120_pct__max=0.18,ok,0.4027777777777778,116,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.034318856370600725,2.576408009944262,-2.542089153573661,0.005684939130671918,0.007750004165359021,0.735344520002631,0.7283433754552351,0.01382993038114222,0.4110605747100223,0.20533333333333334,0.812,3.108459768095159,162,1761.4986293999998,-1.0761597735581279,81,81,81,0,1.0,0.43209876543209874,0.022902378166717197,-0.026456618599134396,1.742629287032812,20000.0,0.18
3,peak_high_to_sma120_pct__max=0.3,ok,0.8402777777777778,242,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.06149554459440609,2.576408009944262,-2.5149124653498562,0.010076468344792477,0.014627491847567802,0.6927458801987357,0.8116253603173187,0.018606984667446924,0.5415422501218773,0.31733333333333336,1.8853333333333333,5.7119261288970975,306,3273.279905595,-1.069984648458889,156,154,152,2,0.9871794871794872,0.42105263157894735,0.021293883486160296,-0.02717278150496634,1.5728425378852475,20000.0,0.3
-1,baseline,ok,1.0,288,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.06641105713234108,2.576408009944262,-2.509996952811921,0.010860762725673823,0.016698985684699526,0.6552355504311164,0.829632902645451,0.024772375011200554,0.43842234427515525,0.3426666666666667,2.176,6.9154095056379,379,4007.21386766,-1.0711978036705174,196,191,188,3,0.9744897959183674,0.4095744680851064,0.017798688441843697,-0.030789792564730967,1.4374542364369949,20000.0,
