variant,researcher_seconds,backtester_seconds,planned_trade_count,entered_trade_count,closed_trade_count,open_trade_count,trade_win_rate,average_trade_return,profit_factor,hard_stop_rate,take_profit_rate,total_return,sharpe,max_drawdown
baseline_static,412.77,4.4,150,147,145,2,0.4482758620689655,0.028597131626973454,1.8444886476655842,,,0.07883062506341565,0.967865407405411,0.014338291777009848
tp1_breakeven,565.39,4.46,150,147,146,1,0.4863013698630137,0.02627006922659429,2.0218059264228905,,,0.0683890603450712,1.0098748609444648,0.014525198617416746
tp1_trailing,561.64,4.77,150,147,146,1,0.5958904109589042,0.02765252170079153,2.2429096652367715,,,0.07360711456404556,1.2719327447127058,0.008948275348718004
