feature,bucket,count,win_rate,average_trade_return,median_trade_return,hard_stop_rate,take_profit_rate,feature_min,feature_max
signal_bullish_stack_run_length,"(5.999, 11.0]",48,0.375,0.014411673091099052,-0.0420952929478797,0.625,0.375,6.0,11.0
signal_bullish_stack_run_length,"(11.0, 20.0]",49,0.3877551020408163,0.016089403326691475,-0.03313685178831009,0.6530612244897959,0.3469387755102041,12.0,20.0
signal_bullish_stack_run_length,"(20.0, 46.0]",46,0.45652173913043476,0.034002446395756496,-0.01701651615658701,0.5652173913043478,0.43478260869565216,21.0,46.0
signal_bullish_stack_run_length,"(46.0, 170.0]",45,0.4222222222222222,0.006708884921803992,-0.023672676430916285,0.6222222222222222,0.37777777777777777,47.0,170.0
peak_bullish_stack_run_length,"(0.999, 5.0]",54,0.35185185185185186,0.008848994000971779,-0.0420952929478797,0.6481481481481481,0.35185185185185186,1.0,5.0
peak_bullish_stack_run_length,"(5.0, 14.0]",44,0.4318181818181818,0.038504766573587076,-0.021152841100770182,0.5909090909090909,0.4090909090909091,6.0,14.0
peak_bullish_stack_run_length,"(14.0, 39.0]",45,0.4444444444444444,0.018011851033369712,-0.026627415683590536,0.6,0.4,15.0,39.0
peak_bullish_stack_run_length,"(39.0, 165.0]",45,0.4222222222222222,0.008079216117214906,-0.023672676430916285,0.6222222222222222,0.37777777777777777,40.0,165.0
signal_stack_spread_pct,"(0.0282, 0.0902]",47,0.48936170212765956,0.030395504220234158,-0.0021180340641125386,0.5319148936170213,0.46808510638297873,0.029238505747126567,0.09000838926174484
signal_stack_spread_pct,"(0.0902, 0.128]",47,0.425531914893617,0.02815459453298286,-0.027718147326342143,0.574468085106383,0.425531914893617,0.09020961145194278,0.1283606793321818
signal_stack_spread_pct,"(0.128, 0.179]",47,0.3829787234042553,0.010692328791616445,-0.04013258514738477,0.6595744680851063,0.3404255319148936,0.12845758354755776,0.1779784946236558
signal_stack_spread_pct,"(0.179, 0.395]",47,0.3404255319148936,0.0019523262225413362,-0.056985169386172915,0.7021276595744681,0.2978723404255319,0.18046875000000007,0.3945323426573426
peak_stack_spread_pct,"(0.00343, 0.0642]",47,0.5531914893617021,0.05029497472411783,0.047694404497334836,0.46808510638297873,0.5319148936170213,0.0044252873563219094,0.0633686690223792
peak_stack_spread_pct,"(0.0642, 0.0965]",47,0.3829787234042553,0.008092593170703174,-0.035250833714327585,0.6170212765957447,0.3829787234042553,0.064422158548233,0.09627147766323002
peak_stack_spread_pct,"(0.0965, 0.152]",47,0.3829787234042553,0.01415130359648714,-0.03884988557095518,0.6595744680851063,0.3404255319148936,0.09679802955665032,0.1521094566353187
peak_stack_spread_pct,"(0.152, 0.348]",47,0.3191489361702128,-0.0013441177239333392,-0.05468411452609912,0.723404255319149,0.2765957446808511,0.15298295454545457,0.3483653062503918
signal_sma20_return_5,"(-0.0161, 0.0249]",47,0.3404255319148936,0.00916226878818937,-0.03310815722982378,0.6808510638297872,0.3191489361702128,-0.015101058392957167,0.024923181973369957
signal_sma20_return_5,"(0.0249, 0.0378]",47,0.44680851063829785,0.022001398634414464,-0.01607442519608324,0.5531914893617021,0.44680851063829785,0.0249453843418177,0.037643477187641494
signal_sma20_return_5,"(0.0378, 0.056]",47,0.46808510638297873,0.021656213091265763,-0.02442440279640739,0.574468085106383,0.425531914893617,0.037904479299138094,0.05592633268564673
signal_sma20_return_5,"(0.056, 0.208]",47,0.3829787234042553,0.01837487325350519,-0.06520517265812129,0.6595744680851063,0.3404255319148936,0.05609208088612072,0.20754127389198485
peak_sma20_return_5,"(-0.01048, 0.024]",47,0.425531914893617,0.020461921282481862,-0.01664022483656839,0.5957446808510638,0.40425531914893614,-0.009479973175638423,0.02371124421960835
peak_sma20_return_5,"(0.024, 0.0377]",47,0.48936170212765956,0.03255107761328867,-0.013785154711231078,0.5319148936170213,0.46808510638297873,0.024128585409922465,0.037223916458737794
peak_sma20_return_5,"(0.0377, 0.0582]",47,0.40425531914893614,0.01716389991366026,-0.0361920524131429,0.6382978723404256,0.3617021276595745,0.0381701817358,0.05816984944274273
peak_sma20_return_5,"(0.0582, 0.292]",47,0.3191489361702128,0.0010178549579440035,-0.07085199810012631,0.7021276595744681,0.2978723404255319,0.058345889082362934,0.29189751442873746
signal_sma60_return_10,"(-0.00326, 0.025]",47,0.48936170212765956,0.0323529970922694,-0.013785154711231078,0.5531914893617021,0.44680851063829785,-0.0022641698880466743,0.024837981290871003
signal_sma60_return_10,"(0.025, 0.0381]",47,0.44680851063829785,0.03142324960755934,-0.026627415683590536,0.574468085106383,0.425531914893617,0.025029382566724045,0.03793313997862913
signal_sma60_return_10,"(0.0381, 0.0604]",47,0.3404255319148936,-0.0025877739400863697,-0.0413174964322176,0.6808510638297872,0.3191489361702128,0.03828156383336756,0.060371329824137066
signal_sma60_return_10,"(0.0604, 0.263]",47,0.3617021276595745,0.010006281007632421,-0.05468411452609912,0.6595744680851063,0.3404255319148936,0.06057373162636326,0.2627961555654894
peak_sma60_return_10,"(-0.00688, 0.0215]",47,0.44680851063829785,0.02213617232122681,-0.03322084858678985,0.574468085106383,0.425531914893617,-0.005876384072434515,0.021244220752618892
peak_sma60_return_10,"(0.0215, 0.0315]",47,0.425531914893617,0.020743948081146112,-0.017881279405132976,0.6170212765957447,0.3829787234042553,0.02163389708958352,0.03150017972094221
peak_sma60_return_10,"(0.0315, 0.0526]",47,0.5106382978723404,0.05107041599133455,0.00221263635598002,0.5106382978723404,0.48936170212765956,0.031515372611013115,0.05257467565121199
peak_sma60_return_10,"(0.0526, 0.211]",47,0.2553191489361702,-0.022755782626332686,-0.07542665220759774,0.7659574468085106,0.23404255319148937,0.05286037491919848,0.2109543188099834
signal_close_to_sma120_pct,"(0.0562, 0.147]",47,0.425531914893617,0.02400007034543721,-0.026456618599134396,0.5957446808510638,0.40425531914893614,0.0571546596166557,0.1452724885095207
signal_close_to_sma120_pct,"(0.147, 0.197]",47,0.46808510638297873,0.027637825612661534,-0.01607442519608324,0.5531914893617021,0.44680851063829785,0.1471322537112011,0.19612248767538862
signal_close_to_sma120_pct,"(0.197, 0.265]",47,0.3191489361702128,0.001888144282070938,-0.05468411452609912,0.6808510638297872,0.3191489361702128,0.19709775967413445,0.26452471482889733
signal_close_to_sma120_pct,"(0.265, 0.596]",47,0.425531914893617,0.01766871352720512,-0.06520517265812129,0.6382978723404256,0.3617021276595745,0.2656078991196763,0.5963945362134689
peak_high_to_sma120_pct,"(0.0499, 0.15]",47,0.5106382978723404,0.03551750456208069,0.005219333332474741,0.5106382978723404,0.48936170212765956,0.050901011089367364,0.14972722313147838
peak_high_to_sma120_pct,"(0.15, 0.203]",47,0.3829787234042553,0.012530996614348193,-0.031176914842676578,0.6382978723404256,0.3617021276595745,0.15011586452762926,0.20261644706426263
peak_high_to_sma120_pct,"(0.203, 0.268]",47,0.3404255319148936,0.009719822074416023,-0.06053833903187808,0.6595744680851063,0.3404255319148936,0.20299712643678153,0.2671993670886076
peak_high_to_sma120_pct,"(0.268, 0.61]",47,0.40425531914893614,0.013426430516529881,-0.05468411452609912,0.6595744680851063,0.3404255319148936,0.26929012345679015,0.6104098539350338
