combo_id,label,status,retained_trade_ratio,retained_trade_count,universe,ma_windows,pivot_window,flagpole_lookback_bars,min_flagpole_bars,max_flagpole_bars,min_flagpole_return,min_flag_bars,max_flag_bars,max_flag_retrace_ratio,max_flag_channel_slope_pct_per_bar,max_flag_width_pct,min_breakout_body_pct,max_breakout_upper_shadow_pct,max_breakout_lower_shadow_pct,stop_buffer_pct,measured_move_fraction,min_reward_r,require_follow_through_close_gt_signal_close,max_holding_days,enable_hard_stop,enable_take_profit,enable_time_stop,start_date,end_date,total_return,benchmark_total_return,excess_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,daily_win_rate,average_holdings_count,total_turnover,total_trades,total_transaction_costs,information_ratio,planned_trade_count,entered_trade_count,closed_trade_count,open_trade_count,entry_fill_rate,trade_win_rate,average_trade_return,median_trade_return,profit_factor,fixed_entry_notional,signal_bullish_stack_run_length__min
-1,baseline,ok,1.0,288,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.06641105713234108,2.576408009944262,-2.509996952811921,0.010860762725673823,0.016698985684699526,0.6552355504311164,0.829632902645451,0.024772375011200554,0.43842234427515525,0.3426666666666667,2.176,6.9154095056379,379,4007.21386766,-1.0711978036705174,196,191,188,3,0.9744897959183674,0.4095744680851064,0.017798688441843697,-0.030789792564730967,1.4374542364369949,20000.0,
0,signal_bullish_stack_run_length__min=10,ok,0.8472222222222222,244,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.05314726829564553,2.576408009944262,-2.523260741648617,0.008737508444736308,0.014544804626257108,0.6054001516487607,0.7438103486748358,0.021251388418097816,0.4111500045472507,0.338,1.7446666666666666,5.820052115264257,319,3362.538204355,-1.0786046000388787,166,161,158,3,0.9698795180722891,0.41139240506329117,0.016799697215578818,-0.028301596666997785,1.4118610259711022,20000.0,10.0
1,signal_bullish_stack_run_length__min=20,ok,0.5590277777777778,161,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.03821377305078477,2.576408009944262,-2.538194236893477,0.006320175937601258,0.010932999078350781,0.5817349459955317,0.5944075918889296,0.012835336795750552,0.4924043706974409,0.25266666666666665,0.9733333333333334,3.556353378216347,194,2041.8194492149998,-1.0800897791609616,102,98,96,2,0.9607843137254902,0.4479166666666667,0.02225304808193222,-0.017299415976829588,1.5256354583889968,20000.0,20.0
2,signal_bullish_stack_run_length__min=30,ok,0.3958333333333333,114,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.026968514908425556,2.576408009944262,-2.549439495035837,0.00448070234764919,0.009073933328501732,0.4972365688867482,0.46572944366007174,0.012388847843171513,0.3616722397731977,0.22333333333333333,0.7626666666666667,2.6518377684708327,144,1515.832591575,-1.0857510635325804,76,73,71,2,0.9605263157894737,0.4507042253521127,0.020938653296198918,-0.01664022483656839,1.5322702143216769,20000.0,30.0
3,signal_bullish_stack_run_length__min=40,ok,0.3090277777777778,89,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.01764722367329008,2.576408009944262,-2.5587607862709723,0.0029432004002769574,0.008056230043483494,0.3688254415429962,0.3314911452026504,0.015436319698760803,0.19066723530695154,0.19466666666666665,0.64,2.077133925827601,112,1177.79732671,-1.0906372428320317,60,57,55,2,0.95,0.4727272727272727,0.01823596120840394,-0.008285413334420984,1.4370226160513417,20000.0,40.0
