combo_id,label,status,retained_trade_ratio,retained_trade_count,universe,ma_windows,pivot_window,flagpole_lookback_bars,min_flagpole_bars,max_flagpole_bars,min_flagpole_return,min_flag_bars,max_flag_bars,max_flag_retrace_ratio,max_flag_channel_slope_pct_per_bar,max_flag_width_pct,min_breakout_body_pct,max_breakout_upper_shadow_pct,max_breakout_lower_shadow_pct,stop_buffer_pct,measured_move_fraction,min_reward_r,require_follow_through_close_gt_signal_close,max_holding_days,enable_hard_stop,enable_take_profit,enable_time_stop,start_date,end_date,total_return,benchmark_total_return,excess_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,daily_win_rate,average_holdings_count,total_turnover,total_trades,total_transaction_costs,information_ratio,planned_trade_count,entered_trade_count,closed_trade_count,open_trade_count,entry_fill_rate,trade_win_rate,average_trade_return,median_trade_return,profit_factor,fixed_entry_notional,peak_sma60_return_10__max
2,peak_sma60_return_10__max=0.055,ok,0.8055555555555556,232,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.07883062506341565,2.576408009944262,-2.4975773848808465,0.012829048721767045,0.01326183510736602,0.967865407405411,1.2047020328971094,0.014338291777009848,0.8947403861830502,0.32266666666666666,1.738,5.404708663468657,292,3132.0984365850004,-1.0552827399945246,150,147,145,2,0.98,0.4482758620689655,0.028597131626973454,-0.017881279405132976,1.8444886476655842,20000.0,0.055
1,peak_sma60_return_10__max=0.05,ok,0.7465277777777778,215,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.07353517311010527,2.576408009944262,-2.5028728368341566,0.011992129085993897,0.01240983212612888,0.9668183997281532,1.189990941703406,0.015549639001621096,0.7712159159928845,0.318,1.628,5.011525796237661,270,2890.1413898950004,-1.057191815996596,139,136,134,2,0.9784172661870504,0.4552238805970149,0.028902030193889778,-0.01697785230060811,1.8666725510392976,20000.0,0.05
3,peak_sma60_return_10__max=0.06,ok,0.8298611111111112,239,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.07651449976691582,2.576408009944262,-2.4998935101773463,0.012463418218743971,0.013674730972693694,0.9126426245464413,1.1446094813166574,0.018271028614486262,0.6821410267434148,0.3233333333333333,1.7826666666666666,5.572794273192,302,3232.012733085,-1.0581299859995277,156,152,150,2,0.9743589743589743,0.44,0.02618023422797238,-0.025440510697770893,1.7611350568461666,20000.0,0.06
0,peak_sma60_return_10__max=0.045,ok,0.6805555555555556,196,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.061435766796840596,2.576408009944262,-2.5149722431474215,0.01006691192005138,0.011761210338497285,0.8575582380528497,1.021954219037485,0.017149396909831416,0.5870125913454259,0.31,1.542,4.630061949976355,250,2664.67120316,-1.0641616675689383,129,126,124,2,0.9767441860465116,0.4435483870967742,0.026409753111203346,-0.025440510697770893,1.7826696586805197,20000.0,0.045
4,peak_sma60_return_10__max=0.07,ok,0.8611111111111112,248,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.07523230806764558,2.576408009944262,-2.5011757018766163,0.012260726041821268,0.014698959977253541,0.8364138310671507,1.0477883327235116,0.01612012615836178,0.7605849930312998,0.3353333333333333,1.91,5.869440688374913,320,3411.791432355,-1.061228838903057,165,161,159,2,0.9757575757575757,0.44025157232704404,0.024574195363914246,-0.026456618599134396,1.6747327094384876,20000.0,0.07
-1,baseline,ok,1.0,288,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.06641105713234108,2.576408009944262,-2.509996952811921,0.010860762725673823,0.016698985684699526,0.6552355504311164,0.829632902645451,0.024772375011200554,0.43842234427515525,0.3426666666666667,2.176,6.9154095056379,379,4007.21386766,-1.0711978036705174,196,191,188,3,0.9744897959183674,0.4095744680851064,0.017798688441843697,-0.030789792564730967,1.4374542364369949,20000.0,
