combo_id,label,status,retained_trade_ratio,retained_trade_count,universe,ma_windows,pivot_window,flagpole_lookback_bars,min_flagpole_bars,max_flagpole_bars,min_flagpole_return,min_flag_bars,max_flag_bars,max_flag_retrace_ratio,max_flag_channel_slope_pct_per_bar,max_flag_width_pct,min_breakout_body_pct,max_breakout_upper_shadow_pct,max_breakout_lower_shadow_pct,stop_buffer_pct,measured_move_fraction,min_reward_r,require_follow_through_close_gt_signal_close,max_holding_days,enable_hard_stop,enable_take_profit,enable_time_stop,start_date,end_date,total_return,benchmark_total_return,excess_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,daily_win_rate,average_holdings_count,total_turnover,total_trades,total_transaction_costs,information_ratio,planned_trade_count,entered_trade_count,closed_trade_count,open_trade_count,entry_fill_rate,trade_win_rate,average_trade_return,median_trade_return,profit_factor,fixed_entry_notional,peak_bullish_stack_run_length__max
2,peak_bullish_stack_run_length__max=40,ok,0.7465277777777778,215,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.06038710346755516,2.576408009944262,-2.516020906476707,0.009899193657982641,0.014265469641328127,0.6976549848131366,0.8601102540512965,0.01851974723104466,0.5345209918086041,0.31733333333333336,1.6526666666666667,5.308951415164774,289,3072.867032445,-1.0687842793233582,147,145,144,1,0.9863945578231292,0.4027777777777778,0.02046762408387234,-0.03312250450906694,1.5274699524132318,20000.0,40.0
3,peak_bullish_stack_run_length__max=80,ok,0.9027777777777778,260,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.06596675388541562,2.576408009944262,-2.5104412560588463,0.010789995730869917,0.01592816569036469,0.6817605409965596,0.8526486710189409,0.02367480799613042,0.4557585317115776,0.3413333333333333,2.058,6.470016631775776,353,3748.253614585,-1.0688951080061415,181,177,176,1,0.9779005524861878,0.4090909090909091,0.018526705941192403,-0.029614003787729867,1.4634405139609932,20000.0,80.0
-1,baseline,ok,1.0,288,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.06641105713234108,2.576408009944262,-2.509996952811921,0.010860762725673823,0.016698985684699526,0.6552355504311164,0.829632902645451,0.024772375011200554,0.43842234427515525,0.3426666666666667,2.176,6.9154095056379,379,4007.21386766,-1.0711978036705174,196,191,188,3,0.9744897959183674,0.4095744680851064,0.017798688441843697,-0.030789792564730967,1.4374542364369949,20000.0,
1,peak_bullish_stack_run_length__max=20,ok,0.5590277777777778,161,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.04077200778033552,2.576408009944262,-2.5356360021639266,0.006736330185266315,0.0129060551923376,0.5266551759147652,0.6220803163588349,0.023554522158641733,0.2859888279582388,0.30866666666666664,1.39,4.190880555456028,227,2404.109719665,-1.0796907589794833,115,114,113,1,0.991304347826087,0.3805309734513274,0.017054090956109567,-0.0361920524131429,1.4180908474480909,20000.0,20.0
0,peak_bullish_stack_run_length__max=10,ok,0.3958333333333333,114,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.02743610968665089,2.576408009944262,-2.5489719002576114,0.004557523560188903,0.01113081004159476,0.4140840724644304,0.45804236031499246,0.02159143988509049,0.21108011250958783,0.276,1.1126666666666667,3.1903359572976924,171,1812.1713133499998,-1.0865175514162313,87,86,85,1,0.9885057471264368,0.3764705882352941,0.01368565617689192,-0.039483658339245185,1.3670464133561944,20000.0,10.0
